TS,Value,Class
2014-10-10,0.0,0
2014-10-17,0.4400019999999927,0
2014-10-18,0.0,0
2014-10-19,0.0,0
2014-10-20,0.0,0
2014-10-21,0.0,0
2014-10-22,0.0,0
2014-10-23,0.0,0
2014-10-24,0.0,0
2014-10-25,0.0,0
2014-10-26,0.0,0
2014-10-27,0.0,0
2014-10-28,0.0,0
2014-10-29,0.0,0
2014-10-30,0.0,0
2014-10-31,0.0,0
2014-11-01,0.0,0
2014-11-02,0.0,0
2014-11-03,0.0,0
2014-11-04,0.0,0
2014-11-05,0.05999800000000732,0
2014-11-06,0.12997400000000425,0
2014-11-07,0.14001500000000533,0
2014-11-08,0.019989000000009582,0
2014-11-09,0.02001999999998816,0
2014-11-10,0.17999199999997018,0
2014-11-11,0.049988000000041666,0
2014-11-12,0.12002599999999575,0
2014-11-13,0.09997499999997217,0
2014-11-14,0.10000600000000759,0
2014-11-15,0.010010000000022501,0
2014-11-16,0.019989000000009582,0
2014-11-17,0.17999299999996765,0
2014-11-18,0.1800230000000056,0
2014-11-19,0.169983000000002,0
2014-11-20,0.13000499999998283,0
2014-11-21,0.10000600000000759,0
2014-11-22,0.0,0
2014-11-23,0.0,0
2014-11-24,0.05999700000000985,0
2014-11-25,0.07000799999997298,0
2014-11-26,0.07998600000001943,0
2014-11-27,0.10000600000000759,0
2014-11-28,0.05999800000000732,0
2014-11-29,0.0,0
2014-11-30,0.010009999999965657,0
2014-12-01,0.19000200000004952,0
2014-12-02,0.20999199999999973,0
2014-12-03,0.22000099999996792,0
2014-12-04,0.19998200000003408,0
2014-12-05,0.21002199999998084,0
2014-12-06,0.039978000000019165,0
2014-12-07,0.040008000000000266,0
2014-12-08,0.3000179999999659,0
2014-12-09,0.38998500000002423,0
2014-12-10,0.3200069999999755,0
2014-12-11,0.22998000000001184,0
2014-12-12,0.22000200000002224,0
2014-12-13,0.029997999999977765,0
2014-12-14,0.03003000000001066,0
2014-12-15,0.44998099999997976,0
2014-12-16,0.33999699999998256,0
2014-12-17,0.22000100000002476,0
2014-12-18,0.1799930000000245,0
2014-12-19,0.1600029999999606,0
2014-12-20,0.02001999999998816,0
2014-12-21,0.029999000000032083,0
2014-12-22,0.30999700000000985,0
2014-12-23,0.27999899999997524,0
2014-12-24,0.13998400000002675,0
2014-12-25,0.12002599999999575,0
2014-12-26,0.09997499999997217,0
2014-12-27,0.02001999999998816,0
2014-12-28,0.039978000000019165,0
2014-12-29,0.2600100000000225,0
2014-12-30,0.2399899999999775,0
2014-12-31,0.2600100000000225,0
2015-01-01,0.2699890000000096,0
2015-01-02,0.2600089999999682,0
2015-01-03,0.1499939999999924,0
2015-01-04,0.23001099999999042,0
2015-01-05,0.38000500000003967,0
2015-01-06,0.3500060000000076,0
2015-01-07,0.26998899999995274,0
2015-01-08,0.29000899999999774,0
2015-01-09,0.1999810000000366,0
2015-01-10,0.02001999999998816,0
2015-01-11,0.039978000000019165,0
2015-01-12,0.330016999999998,0
2015-01-13,0.25,0
2015-01-14,0.19000299999999015,0
2015-01-15,0.19998099999997976,0
2015-01-16,0.22000100000002476,0
2015-01-17,0.04000899999999774,0
2015-01-18,0.04998799999998482,0
2015-01-19,0.39001400000000785,0
2015-01-20,0.35000700000000506,0
2015-01-21,0.3399959999999851,0
2015-01-22,0.32998600000001943,0
2015-01-23,0.3300179999999955,0
2015-01-24,0.05999700000000985,0
2015-01-25,0.05999800000000732,0
2015-01-26,0.5299979999999778,0
2015-01-27,0.47000200000002224,0
2015-01-28,0.3200069999999755,0
2015-01-29,0.25,0
2015-01-30,0.2599789999999871,0
2015-01-31,0.05001900000002024,0
2015-02-01,0.06997599999999693,0
2015-02-02,0.42001399999998057,0
2015-02-03,0.3999939999999924,0
2015-02-04,0.4500120000000152,0
2015-02-05,0.5299990000000321,0
2015-02-06,0.5499869999999873,0
2015-02-07,0.18002400000000307,0
2015-02-08,0.18997200000001158,0
2015-02-09,0.6500239999999735,0
2015-02-10,0.419983000000002,0
2015-02-11,0.4299930000000245,0
2015-02-12,0.38000399999998535,0
2015-02-13,0.29000899999999774,0
2015-02-14,0.02999899999997524,0
2015-02-15,0.029999000000032083,0
2015-02-16,0.30999700000000985,0
2015-02-17,0.26000999999996566,0
2015-02-18,0.25,0
2015-02-19,0.25,0
2015-02-20,0.25,0
2015-02-21,0.040008000000000266,0
2015-02-22,0.04998799999998482,0
2015-02-23,0.3500060000000076,0
2015-02-24,0.3099980000000073,0
2015-02-25,0.32998600000001943,0
2015-02-26,0.3000189999999634,0
2015-02-27,0.31997700000005125,0
2015-02-28,0.05001799999996592,0
2015-03-01,0.029999000000032083,0
2015-03-02,0.309996999999953,0
2015-03-03,0.20999199999999973,0
2015-03-04,0.330016999999998,0
2015-03-05,0.169983000000002,0
2015-03-17,1.5700070000000323,0
2015-03-18,0.17999299999996765,0
2015-03-19,0.11999500000001717,0
2015-03-20,0.15002400000003036,0
2015-03-21,0.05999799999995048,0
2015-03-22,0.029999000000032083,0
2015-03-23,0.22998000000001184,0
2015-03-24,0.19000199999999268,0
2015-03-25,0.23001099999999042,0
2015-03-26,0.22000200000002224,0
2015-03-27,0.1499939999999924,0
2015-03-28,0.04998699999998735,0
2015-03-29,0.02001999999998816,0
2015-03-30,0.13998400000002675,0
2015-03-31,0.11001599999997325,0
2015-04-01,0.1499939999999924,0
2015-04-02,0.13000500000003967,0
2015-04-03,0.08999599999998509,0
2015-04-04,0.04998799999998482,0
2015-04-05,0.010010000000022501,0
2015-04-06,0.040008000000000266,0
2015-04-07,0.13000499999998283,0
2015-04-08,0.10998499999999467,0
2015-04-09,0.08999699999998256,0
2015-04-10,0.10000600000000759,0
