TS,Value,Class
2014-10-02,0.0,0
2014-10-03,0.0,0
2014-10-04,0.0,0
2014-10-05,0.0,0
2014-10-06,0.0,0
2014-10-07,0.0,0
2014-10-08,0.0,0
2014-10-09,0.0,0
2014-10-10,0.0,0
2014-10-11,0.0,0
2014-10-12,0.0,0
2014-10-13,0.0,0
2014-10-14,0.0,0
2014-10-15,0.0,0
2014-10-16,0.0,0
2014-10-17,0.0,0
2014-10-18,0.0,0
2014-10-19,0.0,0
2014-10-20,0.0,0
2014-10-21,0.0,0
2014-10-22,0.0,0
2014-10-23,0.0,0
2014-10-24,0.0,0
2014-10-25,0.0,0
2014-10-26,0.0,0
2014-10-27,0.0,0
2014-10-28,0.0,0
2014-10-29,0.0,0
2014-10-30,0.0,0
2014-10-31,0.0,0
2014-11-01,0.0,0
2014-11-02,0.0,0
2014-11-03,0.0,0
2014-11-04,0.6201169999999365,0
2014-11-05,1.8499750000000859,0
2014-11-06,1.2999270000000251,0
2014-11-07,2.0999759999999696,0
2014-11-08,1.5600580000000264,0
2014-11-09,1.8599859999999353,0
2014-11-10,2.089966000000004,0
2014-11-11,1.820067999999992,0
2014-11-12,1.7600099999999657,0
2014-11-13,1.7698970000001282,0
2014-11-14,1.5500489999999445,0
2014-11-15,1.4799800000000687,0
2014-11-16,1.6600349999998798,0
2014-11-17,2.119995000000017,0
2014-11-18,1.9000240000000304,0
2014-11-19,1.9799809999999525,0
2014-11-20,1.7498780000000806,0
2014-11-21,1.2700190000000475,0
2014-11-22,0.7900389999999788,0
2014-11-23,0.7501219999999194,0
2014-11-24,1.0898440000000846,0
2014-11-25,1.2501219999999194,0
2014-11-26,1.2899170000000595,0
2014-11-27,1.4901119999999537,0
2014-11-28,0.03991700000005949,0
2014-12-10,28.56005899999991,0
2014-12-11,2.2700190000000475,0
2014-12-12,2.709839000000102,0
2014-12-13,1.9700929999999062,0
2014-12-14,2.160033999999996,0
2014-12-15,2.519898000000012,0
2014-12-16,2.600097000000005,0
2014-12-17,2.3499759999999696,0
2014-12-18,2.119995000000017,0
2014-12-19,1.9899900000000343,0
2014-12-20,1.530029999999897,0
2014-12-21,2.1099850000000515,0
2014-12-22,3.130004999999983,0
2014-12-23,3.1099850000000515,0
2014-12-24,3.130004999999983,0
2014-12-25,2.3599850000000515,0
2014-12-26,2.339966000000004,0
2014-12-27,1.9801029999998718,0
2014-12-28,2.709961000000021,0
2014-12-29,3.869995000000017,0
2014-12-30,3.68994100000009,0
2014-12-31,3.880126999999902,0
2015-01-01,3.819823999999926,0
2015-01-02,4.030152000000044,0
2015-01-03,3.239868000000115,0
2015-01-04,2.3000489999999445,0
2015-01-05,2.9300539999999273,0
2015-01-06,3.0699460000000727,0
2015-01-07,2.470092999999906,0
2015-01-08,2.6999510000000555,0
2015-01-09,1.8499750000000859,0
2015-01-10,1.7900389999999788,0
2015-01-11,1.780029999999897,0
2015-01-12,2.959839000000102,0
2015-01-13,2.3000480000000607,0
2015-01-14,1.9600829999999405,0
2015-01-15,2.16003499999988,0
2015-01-16,2.429931000000124,0
2015-01-17,2.280029999999897,0
2015-01-18,2.4899900000000343,0
2015-01-19,2.910033999999996,0
2015-01-20,3.0799560000000383,0
2015-01-21,3.459961000000021,0
2015-01-22,3.1500240000000304,0
2015-01-23,4.010009999999966,0
2015-01-24,3.5100099999999657,0
2015-01-25,3.089966000000004,0
2015-01-26,3.540038999999979,0
2015-01-27,3.18994100000009,0
2015-01-28,2.8499759999999696,0
2015-01-29,2.5200190000000475,0
2015-01-30,3.040038999999979,0
2015-01-31,2.8599859999999353,0
2015-02-01,2.8299560000000383,0
2015-02-02,3.4200439999999617,0
2015-02-03,3.910033999999996,0
2015-02-04,4.099975000000086,0
2015-02-05,4.170043999999962,0
2015-02-06,4.339966000000004,0
2015-02-07,3.209961000000021,0
2015-02-08,3.1800539999999273,0
2015-02-09,3.6999510000000555,0
2015-02-10,3.339966000000004,0
2015-02-11,3.1700439999999617,0
2015-02-12,2.6700439999999617,0
