TS,Value,Class
2014-10-08,-0.00020499999982348527,0
2014-10-10,0.00020499999982348527,0
2014-10-11,-0.00020499999982348527,0
2014-10-12,0.0,0
2014-10-13,0.0,0
2014-10-14,0.0,0
2014-10-15,0.0,0
2014-10-17,0.0,0
2014-10-18,0.0,0
2014-10-19,0.0,0
2014-10-20,0.0,0
2014-10-21,0.0,0
2014-10-22,0.0,0
2014-10-23,0.0,0
2014-10-24,0.0,0
2014-10-25,0.0,0
2014-10-26,0.0,0
2014-10-27,0.0,0
2014-10-28,0.0,0
2014-10-29,0.0,0
2014-10-30,0.0,0
2014-10-31,0.0,0
2014-11-01,0.0,0
2014-11-02,0.0,0
2014-11-03,0.0,0
2014-11-04,1.600097999999889,0
2014-11-05,3.9899900000000343,0
2014-11-06,4.280029000000013,0
2014-11-07,4.270019999999931,0
2014-11-08,3.429931000000124,0
2014-11-09,3.600097999999889,0
2014-11-10,4.419922000000042,0
2014-11-11,3.790038999999979,0
2014-11-12,4.060058000000026,0
2014-11-13,4.0500489999999445,0
2014-11-14,3.4099120000000767,0
2014-11-15,2.969970999999987,0
2014-11-16,3.3000489999999445,0
2014-11-17,4.419922000000042,0
2014-11-18,4.0,0
2014-11-19,4.0,0
2014-11-20,3.5600580000000264,0
2014-11-21,3.0200199999999313,0
2014-11-22,2.359863000000132,0
2014-11-23,2.2700199999999313,0
2014-11-24,2.6801759999998467,0
2014-11-25,2.68994100000009,0
2014-11-26,2.820067999999992,0
2014-11-27,2.9399419999999736,0
2014-11-28,2.609863000000132,0
2014-11-29,2.219970999999987,0
2014-11-30,2.390135999999984,0
2014-12-01,4.090087999999923,0
2014-12-02,4.989990999999918,0
2014-12-03,5.62988200000018,0
2014-12-04,5.81005899999991,0
2014-12-05,5.5998530000001665,0
2014-12-06,5.06005899999991,0
2014-12-07,4.9499510000000555,0
2014-12-08,5.530029999999897,0
2014-12-09,6.239990000000034,0
2014-12-10,5.920165999999881,0
2014-12-11,4.839844000000085,0
2014-12-12,5.15014599999995,0
2014-12-13,4.089844000000085,0
2014-12-14,4.180175999999847,0
2014-12-15,5.389892000000145,0
2014-12-16,5.389893000000029,0
2014-12-17,4.910155999999461,0
2014-12-18,4.859863000000587,0
2014-12-19,4.350097999999889,0
2014-12-20,3.450195000000349,0
2014-12-21,3.989745999999286,0
2014-12-22,5.560059000000365,0
2014-12-23,5.209960999999566,0
2014-12-24,4.660156000000825,0
2014-12-25,4.310058999999455,0
2014-12-26,3.959961000000476,0
2014-12-27,3.7797849999997197,0
2014-12-28,4.260253999999804,0
2014-12-29,5.229980000000069,0
2014-12-30,5.089844000000085,0
2014-12-31,5.330077999999958,0
2015-01-01,5.600097999999889,0
2015-01-02,5.819824000000153,0
2015-01-03,5.0,0
2015-01-04,4.169922000000042,0
2015-01-05,6.879882999999609,0
2015-01-06,7.520019000000502,0
2015-01-07,6.150391000000127,0
2015-01-08,6.419922000000042,0
2015-01-09,4.819823999999244,0
2015-01-10,3.930176000000756,0
2015-01-11,4.1499019999992015,0
2015-01-12,6.410156000000825,0
2015-01-13,5.5097659999992175,0
2015-01-14,4.669922000000042,0
2015-01-15,4.8403320000006715,0
2015-01-16,5.069823999999244,0
2015-01-17,4.689941000000545,0
2015-01-18,4.990235000000212,0
2015-01-19,6.739745999999286,0
2015-01-20,6.979980000000069,0
2015-01-21,7.7998050000005605,0
2015-01-22,7.180175999999847,0
2015-01-23,7.810058000000026,0
2015-01-24,6.160157000000254,0
2015-01-25,6.099608999999873,0
2015-01-26,7.780272999999397,0
2015-01-27,7.219727000000603,0
2015-01-28,6.220214999999371,0
2015-01-29,5.709961000000476,0
2015-01-30,6.149902000000111,0
2015-01-31,5.189941999999974,0
2015-02-01,5.570311999999831,0
2015-02-02,7.699706999999762,0
2015-02-03,7.97021500000028,0
2015-02-04,8.669922000000042,0
2015-02-05,9.520018999999593,0
2015-02-06,9.089844000000085,0
2015-02-07,6.490233999999873,0
2015-02-08,6.390137000000323,0
2015-02-09,7.949706999999762,0
2015-02-10,7.360352000000603,0
2015-02-11,6.739745999999286,0
2015-02-12,6.020019000000502,0
2015-02-13,5.240235000000212,0
2015-02-14,4.319823999999244,0
2015-02-15,4.430176000000756,0
2015-02-16,5.6596679999993285,0
2015-02-17,5.5903320000006715,0
2015-02-18,5.579589999999371,0
2015-02-19,5.60009700000046,0
2015-02-20,5.260253999999804,0
2015-02-21,4.509766000000127,0
2015-02-22,4.990233999999873,0
2015-02-23,6.0,0
2015-02-24,6.699706999999762,0
2015-02-25,6.390137000000323,0
2015-02-26,5.359862999999677,0
2015-02-27,5.510254000000714,0
2015-02-28,4.569823999999244,0
2015-03-01,3.9501960000006875,0
2015-03-02,4.699706999999762,0
2015-03-03,4.479980000000069,0
2015-03-04,5.080077999999958,0
2015-03-05,2.790038999999524,0
2015-03-17,50.910157000000254,0
2015-03-18,4.069824000000153,0
2015-03-19,3.7299800000000687,0
2015-03-20,3.540038999999524,0
2015-03-21,3.25,0
2015-03-22,3.5498050000005605,0
2015-03-23,4.310058999999455,0
2015-03-24,4.0903320000006715,0
2015-03-25,4.849608999999873,0
2015-03-26,4.560058999999455,0
2015-03-27,4.060058000000026,0
2015-03-28,3.350097999999889,0
2015-03-29,3.180176000000756,0
2015-03-30,4.0,0
2015-03-31,3.7597649999997884,0
2015-04-01,4.020019999999931,0
2015-04-02,3.8701169999994818,0
2015-04-03,3.3500980000007985,0
2015-04-04,3.0097649999997884,0
2015-04-05,3.109864000000016,0
2015-04-06,3.4003899999997884,0
2015-04-07,3.509766000000127,0
2015-04-08,3.1601559999999154,0
2015-04-09,3.1201170000003913,0
2015-04-10,2.949706999999762,0
2015-04-11,2.4799809999994977,0
2015-04-12,2.3203120000007402,0
