TS,Value,Class
2014-10-17,3.5699999999999363,0
2014-10-24,3.5200000000000955,0
2014-10-31,2.439999999999941,0
2014-11-07,4.740000000000009,0
2014-11-14,22.120000000000005,0
2014-11-21,17.0,0
2014-11-28,15.330000000000041,0
2014-12-05,19.809999999999945,0
2014-12-12,38.960000000000036,0
2014-12-19,25.579999999999927,0
2015-01-02,66.0100000000001,0
2015-01-09,21.159999999999968,0
2015-01-16,27.459999999999923,0
2015-01-23,36.16000000000008,0
2015-01-30,31.1099999999999,0
2015-02-06,45.41000000000008,0
2015-02-13,38.319999999999936,0
2015-02-20,39.62000000000012,0
2015-02-27,14.659999999999854,0
2015-03-06,32.38000000000011,0
2015-03-13,20.170000000000073,0
2015-03-20,21.039999999999964,0
2015-03-27,21.169999999999845,0
2015-04-03,17.37000000000012,0
2015-04-10,18.039999999999964,0
2015-04-17,9.900000000000091,0
2015-04-24,2.5599999999999454,0
2015-05-01,3.4300000000000637,0
2015-05-08,3.6799999999998363,0
2015-05-15,3.1000000000001364,0
2015-05-22,4.809999999999945,0
2015-05-29,3.7200000000000273,0
2015-06-05,3.5599999999999454,0
2015-06-12,3.1800000000000637,0
2015-06-19,3.4700000000000273,0
2015-06-26,3.2200000000000273,0
2015-07-03,3.189999999999827,0
2015-07-10,2.060000000000173,0
2015-08-14,5.949999999999818,0
2015-08-21,1.4100000000000819,0
2015-08-28,3.0,0
2015-09-04,5.099999999999909,0
2015-09-11,3.560000000000173,0
2015-09-18,3.7999999999999545,0
2015-09-25,4.210000000000036,0
2015-10-02,4.2999999999999545,0
2015-10-09,4.440000000000055,0
2015-10-16,4.419999999999845,0
2015-10-23,12.420000000000073,0
2015-10-30,14.349999999999909,0
2015-11-06,14.060000000000173,0
2015-11-13,15.699999999999818,0
2015-11-20,19.320000000000164,0
2015-11-27,25.019999999999982,0
2015-12-04,30.3599999999999,0
2015-12-18,56.1400000000001,0
2015-12-25,14.799999999999955,0
2016-01-01,28.84999999999991,0
2016-01-08,16.820000000000164,0
2016-01-15,25.909999999999854,0
2016-01-22,36.24000000000001,0
2016-01-29,25.019999999999982,0
2016-02-05,24.560000000000173,0
2016-02-12,26.0,0
2016-02-19,31.09999999999991,0
2016-02-26,23.8900000000001,0
2016-03-04,31.3599999999999,0
2016-03-11,29.910000000000082,0
2016-03-18,23.25999999999999,0
2016-03-25,25.789999999999964,0
2016-04-01,14.190000000000055,0
2016-04-07,21.9099369999999,0
2016-04-08,3.70995999999991,0
2016-04-09,3.25,0
2016-04-10,2.54004000000009,0
2016-04-11,2.410033999999996,0
2016-04-12,2.179931000000124,0
2016-04-13,2.030029999999897,0
2016-04-14,2.320067999999992,0
2016-04-15,2.019896999999901,0
2016-04-16,1.7601320000001124,0
2016-04-17,1.75,0
2016-04-18,2.209961000000021,0
2016-04-19,2.5200199999999313,0
2016-04-20,2.0200190000000475,0
2016-04-21,2.119873000000098,0
2016-04-22,1.920165999999881,0
2016-04-23,0.9599610000000212,0
2016-04-24,1.0200199999999313,0
2016-04-25,1.0297850000001745,0
2016-04-26,0.8601069999999709,0
2016-04-27,0.6398930000000291,0
2016-04-28,0.6301269999999022,0
2016-04-29,0.6298830000000635,0
2016-04-30,0.6301269999999022,0
2016-05-01,0.6699220000000423,0
2016-05-02,0.469970000000103,0
2016-05-03,0.8801269999999022,0
2016-05-04,0.6599120000000767,0
2016-05-05,0.6301269999999022,0
2016-05-06,0.6298830000000635,0
2016-05-07,0.6501469999998335,0
2016-05-08,0.649902000000111,0
2016-05-09,0.679932000000008,0
2016-05-10,0.6899410000000898,0
2016-05-11,0.6301269999999022,0
2016-05-12,0.649902000000111,0
2016-05-13,2.820136999999704,0
2016-05-14,-1.6001659999997173,1
2016-05-15,0.6201169999999365,0
2016-05-16,0.6101079999998547,0
2016-05-17,0.6298820000001797,0
2016-05-18,0.6201179999998203,0
2016-05-19,0.649902000000111,0
2016-05-20,0.6298830000000635,0
2016-05-21,0.5800779999999577,0
2016-05-22,0.6101069999999709,0
2016-05-23,0.6499029999999948,0
2016-05-24,0.6599120000000767,0
2016-05-25,0.6301269999999022,0
2016-05-26,0.6298830000000635,0
2016-05-27,0.5900870000000396,0
2016-05-28,0.5800789999998415,0
2016-05-29,0.5998530000001665,0
2016-05-30,0.6101069999999709,0
2016-05-31,0.6298830000000635,0
2016-06-01,0.6101079999998547,0
